,50,2330,2454,2379,3034,2884,2885,2886,2891,2412
0,元大台灣50,台積電,聯發科,瑞昱,聯詠,玉山金,元大金,兆豐金,中信金,中華電
2001+1,0,0.363915817722925,0,0.559300218896294,0,0,0,0.217357623295538,0,0.16269823428323
2002+1,0,-0.285933843154605,-0.165967817386487,-0.156175043732274,0,0,-0.089727788408005,0.041435428086098,0,0.201685236990311
2003+1,0,0.166809629769621,0.287026475581364,-0.073933857039639,0.397954430423406,0.192646527214404,0.154278461214466,0.271748700274919,0.397425576014443,0.168464800783086
2004+1,0,0.067015032703923,-0.050595414228885,-0.054000909897538,0.18457017903693,0.344447904168957,0.279848092799401,0.16886749544084,0.130059876227528,0.301818756371025
2005+1,0,0.250951298058457,0.594154094906714,0.237547062619919,0.857744468878108,-0.012112377609556,-0.00227549510078,0.201056131651067,0.046693081144008,0.196554635162623
2006+1,0,0.181022672392768,0.168576471804838,0.570344795787646,-0.012280855356252,0.152235295310231,0.17760211074429,0.151137627019583,0.185569107801492,0.219908550137309
2007+1,0,-0.000174018231638,-0.012896738924197,-0.1210178487215,-0.085866530919414,-0.10146029467279,0.182734966269496,0.067285472387809,-0.069349140543768,0.124220209432303
2008+1,-0.300799735644236,-0.114566546504465,-0.222796056025402,-0.420225070677373,-0.301591950774818,-0.241053060571173,-0.200598634094928,-0.198404554554315,-0.204864453163997,0
2009+1,0.282387136765499,0.282247384568476,0.506564127145568,0.704595847985386,0.786793172346389,0.330861937959641,0.265848256616165,0.305693731481713,0.272948368417344,0.143936004382847
2010+1,0.135364450020137,0.222862549183372,-0.016864316786363,0.00769529358472,0.119504259610175,0.482187478876836,0.245776499542465,0.288696591356368,0.264274753573171,0.247573932993725
2011+1,-0.113271895082676,0.096631575246121,-0.027878427177748,-0.071272772189473,0.022570236624047,-0.17949903558309,-0.100995728544104,-0.032657388952792,-0.04669996461322,0.126128459038715
2012+1,0.037632763598385,0.21042426105959,0.166444301584416,0.169165208287398,0.327568277723332,0.098938214536263,0.063997183072975,0.117453643866759,0.064208865635262,0.110033621741655
2013+1,0.049553651366239,0.049997830328919,0.262152274082035,0.190985084446118,0.059230372526154,0.156750324941085,0.201029897891813,0.127945125049391,0.201660439876439,0.05158210343438
2014+1,0.046744305146294,0.187292152040603,0.028516348444997,0.192512619257643,0.276451877550794,0.106413426493593,0.047831108294503,0.053176800200925,0.06847617811421,0.06217896337202
2015+1,-0.08425895251244,0.047967353031778,-0.183845580326353,0.16276646948612,0.022253928648635,0.03784407528383,-0.114773884527698,-0.050301873723584,-0.086054436907831,0.071229776818577
2016+1,0.08453816915471,0.141628497031094,-0.003031352686514,0.128570983302356,0.007650239262086,0.101994921646558,0.124248265252369,0.105767907974637,0.175100077147868,-0.010370621730974
2017+1,0.049114726417161,0.148251699876864,0.193022610016029,0.060875893130596,0.05150306291538,0.105371647726275,0.08973135130299,0.073648453980428,0.121258484565112,0.072957506408153
2018+1,-0.052513309470951,-0.000834189516932,-0.109222938236216,0.238849969891632,0.105847652641936,0.047926916584687,0.118081415169686,0.064543994596117,0.012612486476276,0.039417099469698
2019+1,0.183554125463103,0.349848028074052,0.428312523903904,0.216327630910127,0.267942646762301,0.188752429363361,0.171639510050303,0.210595216878724,0.122390543709241,0.049829954362538
2020+1,0.286454398187009,0.498380605877636,0.530437639114271,0.385701223082181,0.637784154741755,0.040688409056301,0.208849488591403,0.064829876296258,0.057520924734323,0.036658226987098
2021+1,0.064499150133287,0.055109765976891,0.306670683782864,0.193294575947369,0.174480603300282,0.145147276800299,0.100962481272135,0.17046351734795,0.22132330364054,0.085584195660817
,0.615647259884319,1.1923844073196,1.34618916589434,1.22362027626426,1.24520835962374,0.62988160117748,0.813512511638885,0.689848967074114,0.71020582027336,0.274076361157329
,1.28464624342584,4.03324998828674,4.19093589186966,3.94240247545795,5.14531858556496,2.62796361870319,2.82732785745584,2.85139543564691,2.6447598921218,2.37178253598292
